"Column","AUC","DoublingTime"
"D1 Rep1 Average",19.4152077354374,3.38363260117066
"D1 Rep 2 Average",19.1093189817082,2.97968801034231
"D1 Rep 3 Average",19.5763328230835,2.87721463260551
"AE2 Rep1 Average",15.4102496535,3.02179395382094
"AE2 Rep2 Average",14.7132219400416,3.16358728613545
"AE2 Rep3 Average",15.2012219088253,3.34804962282544
"110 Rep1 Average",15.8418452432315,3.89445901326555
"110 Rep2 Average",11.6746761150212,2.42963893010894
"110 Rep3 Average",14.38459144565,2.75051541884702
"111 Rep1 Average",17.3411566913011,3.45585533757611
"111 Rep2 Average",12.9682092726878,2.46694937511469
"111 Rep3 Average",15.1668972961823,2.63370631030954
"112 Rep1 Average",13.8832758440878,2.51188127164466
"112 Rep2 Average",16.4317599269825,2.50513772567088
"CBS138 Rep1 Average",17.24843,4.46445157026375
"CBS138 Rep2 Average",15.83786,2.78837453948739
"CBS138 Rep3 Average",15.8930274329998,3.26527878525832
"CBS138 Rep4 Average",14.6155386121292,3.13907576831688
"CBS138 Rep5 Average",13.0187592772882,2.51243752532538
"CBS138 Rep6 Average",15.1241940108493,2.1702828231249
"BG2 Rep1 Average",20.28257,5.10518385613007
"BG2 Rep2 Average",20.2096494409997,3.21537015080493
"BG2 Rep3 Average",21.2584994679167,3.35312866146013
"BG2 Rep4 Average",21.0358951870517,3.35164813025734
"BG2 Rep5 Average",16.8474908929949,2.57757237056212
